Symbol,Date,Bid,Ask
BTCUSD,2016-01-04 18:00:40.420,1.08196,1.082
BTCUSD,2016-01-04 18:00:40.442,1.08194,1.082
BTCUSD,2016-01-04 18:00:40.528,1.08196,1.082
BTCUSD,2016-01-04 18:00:40.554,1.08194,1.082
BTCUSD,2016-01-04 18:00:40.651,1.08194,1.08198
BTCUSD,2016-01-04 18:00:40.683,1.08194,1.082
BTCUSD,2016-01-04 18:00:40.926,1.08196,1.082
BTCUSD,2016-01-04 18:00:41.068,1.08194,1.082
BTCUSD,2016-01-04 18:00:43.988,1.08194,1.08198
BTCUSD,2016-01-04 18:00:45.149,1.08194,1.082
BTCUSD,2016-01-04 18:00:46.603,1.08194,1.08198
BTCUSD,2016-01-04 18:00:49.523,1.08194,1.082
BTCUSD,2016-01-04 18:00:49.679,1.08194,1.08198
BTCUSD,2016-01-04 18:00:49.770,1.08194,1.082
BTCUSD,2016-01-04 18:00:51.255,1.08194,1.08198
BTCUSD,2016-01-04 18:00:51.304,1.0819299999999998,1.08198
BTCUSD,2016-01-04 18:00:51.338,1.0819,1.08194
BTCUSD,2016-01-04 18:00:51.392,1.08191,1.08194
BTCUSD,2016-01-04 18:00:51.459,1.0819,1.08194
BTCUSD,2016-01-04 18:00:52.077,1.0819,1.08192
BTCUSD,2016-01-04 18:00:52.092,1.0819,1.08194
BTCUSD,2016-01-04 18:00:52.144,1.0819,1.08192
BTCUSD,2016-01-04 18:00:52.158,1.0819,1.08194
BTCUSD,2016-01-04 18:00:52.221,1.08189,1.08194
BTCUSD,2016-01-04 18:00:52.231,1.0819,1.08194
BTCUSD,2016-01-04 18:00:52.291,1.0819,1.08192
BTCUSD,2016-01-04 18:00:52.436,1.08189,1.08192
BTCUSD,2016-01-04 18:00:54.387,1.0819,1.08192
BTCUSD,2016-01-04 18:00:54.410,1.08189,1.08191
BTCUSD,2016-01-04 18:00:54.429,1.0819,1.08191
BTCUSD,2016-01-04 18:00:54.709,1.0819,1.08194
BTCUSD,2016-01-04 18:00:54.723,1.08189,1.08194
BTCUSD,2016-01-04 18:00:54.846,1.08187,1.08192
BTCUSD,2016-01-04 18:00:55.127,1.08187,1.08191
BTCUSD,2016-01-04 18:00:55.840,1.08189,1.08191
BTCUSD,2016-01-04 18:00:57.725,1.08187,1.08191
BTCUSD,2016-01-04 18:00:57.744,1.08187,1.08194
BTCUSD,2016-01-04 18:00:57.758,1.08189,1.08194
BTCUSD,2016-01-04 18:00:57.827,1.0819,1.08194
BTCUSD,2016-01-04 18:00:58.142,1.08191,1.08194
BTCUSD,2016-01-04 18:00:58.344,1.0819,1.08194
BTCUSD,2016-01-04 18:01:00.052,1.08191,1.08194
BTCUSD,2016-01-04 18:01:00.096,1.0819,1.08194
BTCUSD,2016-01-04 18:01:00.222,1.08189,1.08194
BTCUSD,2016-01-04 18:01:00.285,1.08189,1.08192
BTCUSD,2016-01-04 18:01:00.326,1.08187,1.08192
BTCUSD,2016-01-04 18:01:00.390,1.08187,1.08191
BTCUSD,2016-01-04 18:01:00.524,1.08189,1.08191
BTCUSD,2016-01-04 18:01:00.628,1.0819,1.08191
BTCUSD,2016-01-04 18:01:01.065,1.0819,1.08194
BTCUSD,2016-01-04 18:01:01.119,1.08189,1.08194
BTCUSD,2016-01-04 18:01:01.509,1.0819,1.08194
BTCUSD,2016-01-04 18:01:03.470,1.0819,1.08192
BTCUSD,2016-01-04 18:01:03.630,1.08189,1.08192
BTCUSD,2016-01-04 18:01:03.651,1.08189,1.08191
BTCUSD,2016-01-04 18:01:03.790,1.08187,1.08191
BTCUSD,2016-01-04 18:01:03.899,1.08187,1.08188
BTCUSD,2016-01-04 18:01:03.911,1.08186,1.08188
BTCUSD,2016-01-04 18:01:03.936,1.0818299999999998,1.08187
BTCUSD,2016-01-04 18:01:04.035,1.08182,1.08187
BTCUSD,2016-01-04 18:01:04.104,1.08182,1.08184
BTCUSD,2016-01-04 18:01:04.301,1.0818,1.08184
BTCUSD,2016-01-04 18:01:05.253,1.0818,1.0818299999999998
BTCUSD,2016-01-04 18:01:05.417,1.08179,1.0818299999999998
BTCUSD,2016-01-04 18:01:08.318,1.0818,1.0818299999999998
BTCUSD,2016-01-04 18:01:08.362,1.0818,1.08184
BTCUSD,2016-01-04 18:01:10.651,1.08182,1.08184
BTCUSD,2016-01-04 18:01:10.837,1.0818,1.08184
BTCUSD,2016-01-04 18:01:10.909,1.0818,1.08185
BTCUSD,2016-01-04 18:01:10.948,1.08182,1.08185
BTCUSD,2016-01-04 18:01:10.956,1.08182,1.08187
BTCUSD,2016-01-04 18:01:12.710,1.0818,1.08187
BTCUSD,2016-01-04 18:01:12.791,1.08182,1.08187
BTCUSD,2016-01-04 18:01:13.117,1.0818299999999998,1.08187
BTCUSD,2016-01-04 18:01:13.702,1.08182,1.08187
BTCUSD,2016-01-04 18:01:13.849,1.08182,1.08185
BTCUSD,2016-01-04 18:01:14.217,1.08182,1.08187
BTCUSD,2016-01-04 18:01:14.243,1.0818299999999998,1.08187
BTCUSD,2016-01-04 18:01:14.341,1.08182,1.08187
BTCUSD,2016-01-04 18:01:14.514,1.0818299999999998,1.08187
BTCUSD,2016-01-04 18:01:15.269,1.08184,1.08187
BTCUSD,2016-01-04 18:01:15.414,1.08186,1.08187
BTCUSD,2016-01-04 18:01:15.458,1.08184,1.08187
BTCUSD,2016-01-04 18:01:15.736,1.08184,1.08188
BTCUSD,2016-01-04 18:01:15.747,1.0818299999999998,1.08188
BTCUSD,2016-01-04 18:01:15.822,1.08182,1.08188
BTCUSD,2016-01-04 18:01:15.841,1.08182,1.08185
BTCUSD,2016-01-04 18:01:15.866,1.0818,1.08185
BTCUSD,2016-01-04 18:01:15.930,1.08182,1.08185
BTCUSD,2016-01-04 18:01:16.981,1.0818299999999998,1.08185
BTCUSD,2016-01-04 18:01:17.133,1.0818,1.08185
BTCUSD,2016-01-04 18:01:17.243,1.0818299999999998,1.08185
BTCUSD,2016-01-04 18:01:17.349,1.0818,1.08185
BTCUSD,2016-01-04 18:01:17.425,1.0818,1.08181
BTCUSD,2016-01-04 18:01:17.441,1.0817700000000001,1.08181
BTCUSD,2016-01-04 18:01:17.466,1.0817700000000001,1.0818
BTCUSD,2016-01-04 18:01:17.492,1.08176,1.0818
BTCUSD,2016-01-04 18:01:17.587,1.08174,1.0818
BTCUSD,2016-01-04 18:01:17.741,1.08174,1.08178
BTCUSD,2016-01-04 18:01:17.765,1.08176,1.08178
BTCUSD,2016-01-04 18:01:17.830,1.08174,1.0818
BTCUSD,2016-01-04 18:01:17.954,1.08174,1.08178
BTCUSD,2016-01-04 18:01:18.079,1.08176,1.08178
BTCUSD,2016-01-04 18:01:20.047,1.08174,1.08178
BTCUSD,2016-01-04 18:01:20.619,1.0817299999999999,1.08178
BTCUSD,2016-01-04 18:01:20.651,1.08172,1.08178
BTCUSD,2016-01-04 18:01:20.659,1.08172,1.0817700000000001
BTCUSD,2016-01-04 18:01:20.674,1.0817,1.0817700000000001
BTCUSD,2016-01-04 18:01:20.743,1.0817,1.08174
BTCUSD,2016-01-04 18:01:21.017,1.08169,1.08174
BTCUSD,2016-01-04 18:01:21.041,1.0816700000000001,1.08174
BTCUSD,2016-01-04 18:01:21.147,1.08169,1.08174
BTCUSD,2016-01-04 18:01:21.157,1.08169,1.0817299999999999
BTCUSD,2016-01-04 18:01:21.215,1.08169,1.08174
BTCUSD,2016-01-04 18:01:21.350,1.0816700000000001,1.0817299999999999
BTCUSD,2016-01-04 18:01:22.107,1.0816700000000001,1.08174
BTCUSD,2016-01-04 18:01:22.140,1.0816700000000001,1.08171
BTCUSD,2016-01-04 18:01:23.926,1.0816700000000001,1.0817299999999999
BTCUSD,2016-01-04 18:01:24.226,1.08169,1.0817299999999999
BTCUSD,2016-01-04 18:01:26.489,1.0817,1.08174
BTCUSD,2016-01-04 18:01:26.500,1.08172,1.08174
BTCUSD,2016-01-04 18:01:26.529,1.0817299999999999,1.08174
